UNIQ_ID,mod_year,age,hour,drunk_dr,numoccs,deformed,motorcycle,rollover_binary,air_bag_deployed,speedrel_binary,fatality_target
10061_1_2,2006,32,21.0,1,3,6.0,0,1,0,1,0
10061_1_3,2006,22,21.0,1,3,6.0,0,1,0,1,0
10062_1_1,1983,22,10.0,0,1,6.0,0,0,0,0,1
10064_1_1,2008,39,0.0,0,1,4.0,0,0,1,0,0
10065_1_1,2003,44,10.0,0,1,6.0,0,0,1,1,0
10067_1_1,2006,18,11.0,0,1,6.0,0,0,1,0,0
10067_2_1,1998,39,11.0,0,2,6.0,0,0,1,0,0
10067_2_2,1998,92,11.0,0,2,6.0,0,0,1,0,1
10067_3_1,2013,35,11.0,0,3,6.0,0,0,0,0,0
10067_3_2,2013,1,11.0,0,3,6.0,0,0,0,0,0
10067_3_3,2013,4,11.0,0,3,6.0,0,0,0,0,0
10067_4_1,2002,65,11.0,0,2,4.0,0,0,0,0,0
10067_4_2,2002,59,11.0,0,2,4.0,0,0,0,0,0
10068_1_1,1997,52,18.0,0,1,6.0,0,1,0,1,1
10069_1_1,1998,21,21.0,1,1,2.0,0,0,0,0,0
10069_2_1,2008,24,21.0,1,1,2.0,0,0,0,0,0
10070_1_1,1990,37,3.0,1,1,6.0,0,0,0,1,1
10071_1_1,2005,35,22.0,0,2,6.0,0,0,1,1,1
10071_1_2,2005,33,22.0,0,2,6.0,0,0,1,1,0
10071_2_1,2005,18,22.0,0,2,6.0,0,0,1,0,0
10071_2_2,2005,38,22.0,0,2,6.0,0,0,1,0,0
10072_1_1,2009,28,19.0,0,1,2.0,0,0,0,0,0
10073_1_1,2009,56,23.0,0,1,4.0,0,0,0,0,0
10074_1_1,1995,40,5.0,0,1,6.0,0,0,0,0,1
10074_2_1,2012,55,5.0,0,1,4.0,0,0,0,0,0
10074_3_1,2012,33,5.0,0,1,6.0,0,0,0,0,0
10074_4_1,2005,41,5.0,0,1,6.0,0,0,0,0,0
10075_1_1,2000,85,18.0,1,1,6.0,0,0,1,0,1
10075_2_1,2008,29,18.0,1,3,6.0,0,0,1,0,0
10075_2_2,2008,59,18.0,1,3,6.0,0,0,1,0,0
10075_2_3,2008,1,18.0,1,3,6.0,0,0,1,0,0
10076_1_1,2013,33,10.0,0,1,6.0,0,0,1,1,0
10077_1_1,1997,64,18.0,0,1,4.0,0,0,0,0,0
10079_1_1,2014,32,4.0,1,2,6.0,0,0,1,0,0
10079_1_2,2014,31,4.0,1,2,6.0,0,0,1,0,1
10080_1_1,1999,19,15.0,1,1,6.0,0,1,0,1,1
10081_1_1,2001,36,12.0,1,2,6.0,0,0,1,1,0
10081_1_2,2001,59,12.0,1,2,6.0,0,0,1,1,0
10081_2_1,2005,64,12.0,1,2,6.0,0,0,0,0,0
10081_2_2,2005,72,12.0,1,2,6.0,0,0,0,0,1
10082_1_1,2003,43,21.0,0,1,6.0,0,1,0,0,1
10083_1_1,2002,40,3.0,2,1,6.0,0,1,1,1,1
10083_2_1,2005,31,3.0,2,3,6.0,0,0,1,0,1
10083_2_2,2005,26,3.0,2,3,6.0,0,0,1,0,1
10083_2_3,2005,29,3.0,2,3,6.0,0,0,0,0,1
10084_1_1,2005,69,10.0,1,1,6.0,0,0,1,1,0
10084_2_1,2001,41,10.0,1,1,6.0,0,0,1,0,1
10084_3_1,2000,43,10.0,1,1,4.0,0,0,0,0,0
10085_1_1,2004,55,13.0,1,1,6.0,0,1,0,0,1
10086_1_1,1994,15,17.0,1,3,6.0,0,0,0,0,0
10086_1_2,1994,47,17.0,1,3,6.0,0,0,0,0,1
10086_1_3,1994,14,17.0,1,3,6.0,0,0,0,0,0
10086_2_1,2012,45,17.0,1,1,6.0,0,0,1,0,0
10087_1_1,2005,86,12.0,0,2,6.0,0,0,1,1,1
10087_1_2,2005,83,12.0,0,2,6.0,0,0,1,1,1
10088_1_1,2009,18,19.0,0,1,4.0,0,0,0,0,0
10092_1_1,2007,17,19.0,0,2,2.0,0,0,0,0,0
10092_1_2,2007,38,19.0,0,2,2.0,0,0,0,0,0
10092_2_1,2005,43,19.0,0,1,6.0,1,0,0,0,1
10093_1_1,2012,29,5.0,0,1,6.0,0,0,1,1,1
